sku_id,material_id,quantity_per_unit
1SM0824-60/0,18290,1.0
2140372/I,18334,1.0
2140390/I,18334,1.0
2140391/I,18334,1.0
2140477/I,18334,1.0
751SM0780/1,18290,1.0
BK 8552/0,18865,1.0
C1B3402/1D,18307,0.13622603430877903
C1B3402/1D,18594,0.4520686175580222
C1B3402/1D,18763,0.2744702320887992
C1B3402/1D,18894,0.1372351160443996
C1B3799/2U,12526,0.286
C1B3799/2U,18376,0.4440000000000001
C1B3799/2U,18667,0.182
C1B3799/2U,18865,0.088
C1B4038/1C,12526,0.259
C1B4038/1C,18376,0.41
C1B4038/1C,18893,0.163
C1B4038/1C,18894,0.168
C1B4312A/1RECD,12526,0.15995975855130784
C1B4312A/1RECD,18594,0.28068410462776666
C1B4312A/1RECD,18865,0.04929577464788725
C1B4312A/1RECD,18899,0.08249496981891344
C1B4312A/1RECD,18927,0.31891348088531196
C1B4312A/1RECD,18961,0.10865191146881284
C1B4313A/2RECO,12526,0.158953722334004
C1B4313A/2RECO,18594,0.2816901408450705
C1B4313A/2RECO,18865,0.04929577464788725
C1B4313A/2RECO,18899,0.0804828973843058
C1B4313A/2RECO,18927,0.31488933601609664
C1B4313A/2RECO,18961,0.11468812877263578
C1B4338A/1L,18673,0.1358148893360161
C1B4338A/1L,18763,0.3340040241448692
C1B4338A/1L,18773,0.47686116700201203
C1B4338A/1L,18865,0.05331991951710261
C1B4384A/4,18372,0.6618744512730466
C1B4384A/4,18644,0.3381255487269535
C1B4545A/1D,11967,0.151468315301391
C1B4545A/1D,18794,0.848531684698609
C1B4571A/1A,18712,0.0909090909090909
C1B4571A/1A,18763,0.4011363636363636
C1B4571A/1A,18954,0.0784090909090909
C1B4571A/1A,19004,0.4295454545454545
C1B4612A/1N,12526,0.1038461538461538
C1B4612A/1N,18452,0.5923076923076923
C1B4612A/1N,18673,0.3038461538461538
C1B4613A/1,12526,0.159
C1B4613A/1,18233,0.197
C1B4613A/1,18372,0.224
C1B4613A/1,18452,0.42
C1B4632A/1,12526,0.273
C1B4632A/1,18233,0.181
C1B4632A/1,18372,0.174
C1B4632A/1,18452,0.372
C1B4634A/1,12526,0.3013
C1B4634A/1,18233,0.1987
C1B4634A/1,18452,0.4103
C1B4634A/1,18865,0.0897
C1B4637A/1,18233,0.1281
C1B4637A/1,18376,0.3126
C1B4637A/1,18414,0.3009
C1B4637A/1,18763,0.2006
C1B4637A/1,18865,0.0578
C1B4639A/1,18726,1.0
C1B4654AA/1,18576,0.6031073446327684
C1B4654AA/1,18826,0.3968926553672317
C1B4654AA/12S,18576,1.0
C1B4679A/1,18454,0.1492
C1B4679A/1,18569,0.1555
C1B4679A/1,18576,0.5461
C1B4679A/1,18819,0.1492
C2B3237/3B,18086,0.2412831241283124
C2B3237/3B,18229,0.0892608089260809
C2B3237/3B,18414,0.6694560669456067
C5T4522A/1D,18376,0.4375
C5T4522A/1D,18763,0.5625
CEE4078/2,12526,0.1309255079006772
CEE4078/2,18208,0.1139954853273137
CEE4078/2,18594,0.4345372460496614
CEE4078/2,18763,0.2607223476297968
CEE4078/2,18865,0.0598194130925507
CEE4317A/1L,18164,0.1272727272727273
CEE4317A/1L,18376,0.15
CEE4317A/1L,18598,0.1272727272727273
CEE4317A/1L,18763,0.5954545454545456
CEE4638A/1,12047,0.180110497237569
CEE4638A/1,12526,0.4154696132596685
CEE4638A/1,18553,0.2287292817679558
CEE4638A/1,18679,0.1337016574585635
CEE4638A/1,18966,0.041988950276243
CEE4674A/1,18376,0.0671457444419492
CEE4674A/1,18594,0.113743543678419
CEE4674A/1,18725,0.1804401527060408
CEE4674A/1,18763,0.5249270154951718
CEE4674A/1,18894,0.113743543678419
CEE4677A/1,18376,0.06669357279790133
CEE4677A/1,18690,0.11300575118555141
CEE4677A/1,18725,0.11300575118555141
CEE4677A/1,18763,0.5106447381697105
CEE4677A/1,18865,0.08364443547573402
CEE4677A/1,18894,0.11300575118555141
CEE4681A/1,18569,0.066030592155081
CEE4681A/1,18937,0.4753899742541269
CEE4681A/1,18939,0.458579433590792
CEE4682A/1,18569,0.066030592155081
CEE4682A/1,18937,0.4753899742541269
CEE4682A/1,18939,0.458579433590792
CEE4683A/1,18569,0.066030592155081
CEE4683A/1,18937,0.4753899742541269
CEE4683A/1,18939,0.458579433590792
CEE4687A/1,18232,0.5995599559955995
CEE4687A/1,18376,0.2002200220022001
CEE4687A/1,18868,0.2002200220022001
CEE4688A/1,18232,0.5995599559955995
CEE4688A/1,18376,0.2002200220022001
CEE4688A/1,18868,0.2002200220022001
CF5092/1,18845,1.0
CF5127/U,18865,1.0
CF5128/0,18228,1.0
CF5321/F1925,18517,1.0
CF5321/JAN9,18517,1.0
CF5446/0,18763,1.0
CF5462/0,18334,1.0
CF5489/A,18865,1.0
CF5489/B,18865,1.0
CF5489/C,18865,1.0
CMR4649A/1,18426,1.0
CMR4659A/1,18426,1.0
CSP4479A/1M,18285,0.3219512195121951
CSP4479A/1M,18376,0.3804878048780488
CSP4479A/1M,18469,0.2975609756097561
CT0246/0,11344,1.0
CT2155/1UU,18865,1.0
CT22150/1BA,12526,1.0
CT3085/1K,18376,0.5414091470951792
CT3085/1K,18763,0.3473423980222497
CT3085/1K,18865,0.111248454882571
FF 10008/0005C,18343,1.0
FF 10008/0009A,18414,1.0
FF 10008/0010C,18414,1.0
FF 10008/0011C,18414,1.0
FF 10008/0014C,18414,1.0
JC24/1,7716,1.0
