sku_id,quantity,forecast_qty,source,confidence,forecast_date,unit,notes
50000182,775,775,sales_history,0.07145364687810352,2025-09-27,yards,"Based on 86 days history, weekly aggregation"
50000175,415,415,sales_history,0.03419667889409814,2025-09-27,yards,"Based on 85 days history, weekly aggregation"
50000176,318,318,sales_history,-0.0014771698703253465,2025-09-27,yards,"Based on 78 days history, weekly aggregation"
700094134,1288,1288,sales_history,0.11648685895021396,2025-09-27,yards,"Based on 86 days history, weekly aggregation"
50000183,958,958,sales_history,-0.0011590167248936023,2025-09-27,yards,"Based on 84 days history, weekly aggregation"
50000174,731,731,sales_history,0.09387018540350528,2025-09-27,yards,"Based on 86 days history, weekly aggregation"
700094133,803,803,sales_history,0.1553259838369727,2025-09-27,yards,"Based on 86 days history, weekly aggregation"
CT2155-1,21684,21684,sales_history,0.0823071979064238,2025-09-27,yards,"Based on 86 days history, weekly aggregation"
50000173,575,575,sales_history,0.12491953860355964,2025-09-27,yards,"Based on 85 days history, weekly aggregation"
70005413,4826,4826,sales_history,0.1085680805719979,2025-09-27,yards,"Based on 86 days history, weekly aggregation"
C1B4014-1,550,550,sales_history,0.043340397886545895,2025-09-27,yards,"Based on 83 days history, weekly aggregation"
C1B2946-2CZ35,100,100,sales_history,-0.12953779532079487,2025-09-27,yards,"Based on 65 days history, weekly aggregation"
CEE3065-2CZ35,902,902,sales_history,-0.16018798322057343,2025-09-27,yards,"Based on 65 days history, weekly aggregation"
CEE3837-1,625,625,sales_history,-0.08641233283381089,2025-09-27,yards,"Based on 65 days history, weekly aggregation"
C1B4544-1,1334,1334,sales_history,-0.03251420105905739,2025-09-27,yards,"Based on 57 days history, weekly aggregation"
C1B3987-1,1785,1785,sales_history,-0.011014455310988325,2025-09-27,yards,"Based on 75 days history, weekly aggregation"
C1B3194-1,1103,1103,sales_history,0.03397831922686648,2025-09-27,yards,"Based on 83 days history, weekly aggregation"
70009236,172,172,sales_history,-0.3417352133418744,2025-09-27,yards,"Based on 81 days history, weekly aggregation"
CEE4638-1CE,1041,1041,sales_history,-0.07633994645535946,2025-09-27,yards,"Based on 83 days history, weekly aggregation"
CEE4317-1FI,753,753,sales_history,0.06820844165951104,2025-09-27,yards,"Based on 83 days history, weekly aggregation"
C1B4312-1,2291,2291,sales_history,-0.0033443922145579563,2025-09-27,yards,"Based on 79 days history, weekly aggregation"
CMR4067-3,2132,2132,sales_history,0.04174074240562016,2025-09-27,yards,"Based on 79 days history, weekly aggregation"
C1B3472-1,169,169,sales_history,-0.12542713206947945,2025-09-27,yards,"Based on 70 days history, weekly aggregation"
C1B3225-1,978,978,sales_history,0.08100744296833412,2025-09-27,yards,"Based on 70 days history, weekly aggregation"
C1B3402-1,325,325,sales_history,-0.12338499294992346,2025-09-27,yards,"Based on 63 days history, weekly aggregation"
C1B3199-1,186,186,sales_history,-0.17136842773222744,2025-09-27,yards,"Based on 56 days history, weekly aggregation"
CT4183-BLR,795,795,sales_history,-0.10726905783572104,2025-09-27,yards,"Based on 69 days history, weekly aggregation"
C1B4313-2,827,827,sales_history,-0.021122942258326876,2025-09-27,yards,"Based on 62 days history, weekly aggregation"
CT2266-TT1,727,727,sales_history,0.009711781752721664,2025-09-27,yards,"Based on 63 days history, weekly aggregation"
C1B3912-1FS,576,576,sales_history,0.03913510957154899,2025-09-27,yards,"Based on 63 days history, weekly aggregation"
C1B4338-1,442,442,sales_history,-0.04709274403893191,2025-09-27,yards,"Based on 70 days history, weekly aggregation"
C1B4654-1SC,8330,8330,sales_history,-0.011693457100346433,2025-09-27,yards,"Based on 64 days history, weekly aggregation"
CT0246,2490,2490,sales_history,-0.2132384630798259,2025-09-27,yards,"Based on 63 days history, weekly aggregation"
CT3085-1FI,690,690,sales_history,0.020705115595110585,2025-09-27,yards,"Based on 65 days history, weekly aggregation"
CSP4479-1,945,945,sales_history,-0.24070115218083615,2025-09-27,yards,"Based on 63 days history, weekly aggregation"
CEE3466-1,173,173,sales_history,-0.06107432364785061,2025-09-27,yards,"Based on 49 days history, weekly aggregation"
C1B4656-2,26,26,sales_history,-0.1264250053390049,2025-09-27,yards,"Based on 43 days history, weekly aggregation"
CT1916-WSTT3,153,153,sales_history,-0.1703619490324228,2025-09-27,yards,"Based on 55 days history, weekly aggregation"
CT22150-1,2543,2543,sales_history,-0.00032994950724926,2025-09-27,yards,"Based on 59 days history, weekly aggregation"
C1B3299-1,84,84,sales_history,0.010745210830567582,2025-09-27,yards,"Based on 36 days history, weekly aggregation"
CEE4078-2,935,935,sales_history,0.003111085162184109,2025-09-27,yards,"Based on 48 days history, weekly aggregation"
80004073,627,627,sales_history,-0.0633716835763281,2025-09-27,yards,"Based on 34 days history, weekly aggregation"
